public_reference,price_euro,engine_size,engine_size_cc,fuel_type,transmission,mileage_km,colour,make,model,registration_year,sale_city,sale_county,seller_type,nct,tax,seats,doors,body_type,owners,condition,registration
202208279188667,18995,1.4,1400,Petrol,Automatic,61153,Grey,Abarth,500,2016,Dublin 13,Dublin,Trade,2024-10-01,,4,2,Hatchback,,Used,161D61982
202209099592611,22950,1.4,1400,Petrol,Manual,45646,Black,Abarth,595,2018,Finglas,Dublin,Trade,,,,3,Hatchback,1,Used,MXZ2388
202210050447714,18994,1.4,1400,Petrol,Manual,84649,Grey,Abarth,595,2017,Dublin 20,Dublin,Trade,,,,3,Hatchback,2,Used,171D96987
202207057489010,13995,1.5,1490,Petrol,Manual,32500,Black,Alfa Romeo,33,1991,Dublin 22,Dublin,Trade,2022-06-30,€56 (Vintage & Veteran),5,5,Hatchback,1,Used,J221LLD
202209280188538,79950,1.7,1742,Petrol,Automatic,45999,Red,Alfa Romeo,4C,2014,Dublin 8,Dublin,Trade,2022-02-28,€600 (Band D),2,2,Coupe,2,Used,142D27311
202210100598365,75950,2.0,2000,Petrol,Automatic,0,Gold,Alfa Romeo,Giulia,2023,Cork City,Cork,Trade,,,,4,Saloon,,Used,223CVELOCECORK
202210220976072,72950,2.0,2000,Petrol,Automatic,0,Red,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222CVELOCE-RED
202210220976070,72950,2.0,2000,Petrol,Automatic,0,Blue,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222C-VELOCEMISANOBLUE
202210220983685,70350,2.0,2000,Petrol,Automatic,0,Red,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222-C-GIULIAVELOCE
202210220983684,70350,2.0,2000,Petrol,Automatic,0,Blue,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,,Saloon,,Used,222-C-GIULIA-VELOCEBLUE
202208279188667,18995,1.4,1400,Petrol,Automatic,61153,Grey,Abarth,500,2016,Dublin 13,Dublin,Trade,2024-10-01,,4,2,Hatchback,,Used,161D61982
202209099592611,22950,1.4,1400,Petrol,Manual,45646,Black,Abarth,595,2018,Finglas,Dublin,Trade,,,,3,Hatchback,1,Used,MXZ2388
202210050447714,18994,1.4,1400,Petrol,Manual,84649,Grey,Abarth,595,2017,Dublin 20,Dublin,Trade,,,,3,Hatchback,2,Used,171D96987
202207057489010,13995,1.5,1490,Petrol,Manual,32500,Black,Alfa Romeo,33,1991,Dublin 22,Dublin,Trade,2022-06-30,€56 (Vintage & Veteran),5,5,Hatchback,1,Used,J221LLD
202209280188538,79950,1.7,1742,Petrol,Automatic,45999,Red,Alfa Romeo,4C,2014,Dublin 8,Dublin,Trade,2022-02-28,€600 (Band D),2,2,Coupe,2,Used,142D27311
202210100598365,75950,2.0,2000,Petrol,Automatic,0,Gold,Alfa Romeo,Giulia,2023,Cork City,Cork,Trade,,,,4,Saloon,,Used,223CVELOCECORK
202210220976072,72950,2.0,2000,Petrol,Automatic,0,Red,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222CVELOCE-RED
202210220976070,72950,2.0,2000,Petrol,Automatic,0,Blue,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222C-VELOCEMISANOBLUE
202210220983685,70350,2.0,2000,Petrol,Automatic,0,Red,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222-C-GIULIAVELOCE
202210220983684,70350,2.0,2000,Petrol,Automatic,0,Blue,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,,Saloon,,Used,222-C-GIULIA-VELOCEBLUE
202206076550711,68750,2.0,2000,Petrol,Automatic,0,Blue,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222CGIULIA
202108136211640,68750,2.0,2000,Petrol,Automatic,0,Red,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222-C-05
202108126143797,68750,2.0,2000,Petrol,Automatic,0,Grey,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222CGIULIA
202007101089602,66999,2.0,2000,Petrol,Automatic,0,Blue,Alfa Romeo,Giulia,2022,Dublin 15,Dublin,Trade,2026-07-31,,5,5,Saloon,,Used,222D444
202107124941284,60945,2.0,2000,Petrol,Automatic,0,Red,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222SPRINT
202008072224814,60945,2.0,2000,Petrol,Automatic,0,Grey,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222C00159
202210050447807,59950,2.2,2200,Diesel,Automatic,0,,Alfa Romeo,Giulia,2022,Waterford City,Waterford,Trade,,,,4,Unlisted,,Used,222
202210120649503,57950,2.0,2000,Petrol,Automatic,10000,Blue,Alfa Romeo,Giulia,2022,Waterford City,Waterford,Trade,2026-07-01,,,4,Saloon,1,Used,222D7540
202208249094025,56999,2.2,2200,Diesel,Automatic,0,Grey,Alfa Romeo,Giulia,2022,Dublin 15,Dublin,Trade,,,5,4,Saloon,,Used,222GILSPR
202210220976073,56950,2.2,2200,Diesel,Automatic,0,,Alfa Romeo,Giulia,2022,Cork City,Cork,Trade,,,,4,Saloon,,Used,222CGIULIA-ANODISEDBLUE
202207047454786,29950,2.2,2200,Diesel,Automatic,138109,Blue,Alfa Romeo,Giulia,2019,Carlow,Carlow,Trade,,,4,4,Saloon,1,Used,191REG
202206247110465,31000,2.1,2100,Diesel,Automatic,65000,Blue,Alfa-Romeo,Giulia,2018,Dublin 15,Dublin,Trade,,,5,4,Saloon,1,Used,182D16084
202208269168756,31950,2.1,2100,Diesel,Automatic,75827,Silver,Alfa Romeo,Giulia,2018,Co. Meath,Meath,Trade,2022-03-01,,5,4,Saloon,1,Used,181KE4760
202207087589036,29995,2.1,2143,Diesel,Automatic,128382,White,Alfa Romeo,Giulia,2018,Dublin 22,Dublin,Trade,2024-10-01,€190 (Band A3),5,4,Saloon,1,Used,BG18TXM
202208198931227,28900,2.2,2200,Diesel,Automatic,64391,Blue,ALFA ROMEO,GIULIA,2018,Dublin 22,Dublin,Trade,2024-02-01,,5,4,Saloon,1,Used,181WW2637
202209089558040,25750,2.1,2143,Diesel,Automatic,155000,Grey,Alfa Romeo,Giulia,2017,Blanchardstown,Dublin,Trade,2021-08-31,€190 (Band A3),5,4,Saloon,1,Used,172D15510
202206307307902,22998,2.1,2143,Diesel,Automatic,217371,Black,Alfa Romeo,Giulia,2017,Dublin 8,Dublin,Trade,,€190 (Band A3),5,4,Saloon,1,Used,YT67HCU
202209159780320,26999,2.1,2143,Diesel,Automatic,60000,Black,Alfa Romeo,Giulia,2017,Dublin 15,Dublin,Trade,2023-03-31,€190 (Band A3),5,4,Saloon,1,Used,171G3232
